date,repo,user,role,hash
2021-03-17 14:43:08+00:00,mne-python,catalinamagalvan,author,1026ad762371b0a802c67af89e163434ac9640b6
2021-03-17 15:45:30+00:00,mne-python,HanBnrd,author,34d338bcff0f21fae35114e14c692ccbe7213e10
2021-03-17 16:06:04+00:00,mne-bids,adam2392,co-author,747b67dad37cbb1800734eca0a1a4f17122a7c1b
2021-03-17 16:06:04+00:00,mne-bids,adam2392,co-author,747b67dad37cbb1800734eca0a1a4f17122a7c1b
2021-03-17 21:03:41+00:00,mne-python,nordme,author,c29a32d474809785225c24053dcb41bf054a6e32
2021-03-17 21:32:29+00:00,mne-python,catalinamagalvan,author,b27e06fb1d7f2d8445f7d26f3b4be907fe066335
2021-03-18 06:01:11+00:00,mne-python,catalinamagalvan,author,598cde5e7b6304a06d80fd68dbd3c163d2563711
2021-03-18 10:04:05+00:00,mne-python,kimcoco,author,56e9fbe67a554272a71dfd2b9ae96eb7fd58d104
2021-03-18 10:24:31+00:00,mne-python,anaradanovic,author,f09dfb38010e1d0bfbb251409ae53730b5787014
2021-03-18 11:54:10+00:00,mne-python,sfc-neuro,author,a6abf3649bdf754c86bb983f393f690791816048
2021-03-18 12:34:54+00:00,mne-python,anaradanovic,author,56e41c942af6b06082f2756b19cf2e499674289c
2021-03-18 13:37:12+00:00,mne-python,Falach,author,050a1f35fa91e013973ee3df2c3ca8a4ad362264
2021-03-18 14:24:08+00:00,mne-python,vagechirkov,author,0ddde8c7703331644dbe06b1b023d979738eebb8
2021-03-18 14:24:46+00:00,mne-python,anaradanovic,author,4ca89e6322a583fd16bfe957d98314b2ce8f0f72
2021-03-18 14:26:13+00:00,mne-python,adam2392,author,ee187764ca1ecaddcb4c5f4bd94b192ccb5886e2
2021-03-18 14:27:28+00:00,mne-python,marsipu,author,fc3f2b56bc172eb3b747751e636d55b0cbb56861
2021-03-18 14:55:32+00:00,mne-python,ramkpari,author,ab0f417b94767890e06ba62e6f770e46e912be6d
2021-03-18 15:16:14+00:00,mne-python,kimcoco,author,f20c60ec23481e8c9888fb9f7da1544378dd2489
2021-03-18 20:35:37+00:00,mne-python,anaradanovic,author,916f364ebacc0ac6ed8ee7854dbf904d143ee984
2021-03-19 03:00:20+00:00,mne-python,anaradanovic,author,82b3459a35c1c61c3c2d1ab724aaf9ee831d791d
2021-03-19 17:06:45+00:00,mne-python,FinLouarn,author,4dacaa33542d028820b96caba99e44d0f04a0d7b
2021-03-19 18:44:39+00:00,mne-python,alexrockhill,author,e9dc11fd496c1085bab519e3881cf5764c8645ee
2021-03-19 19:00:55+00:00,mne-bids,eort,author,b2950db896cc391cd69a448b38105da5b64bf360
2021-03-19 19:05:31+00:00,mne-python,nordme,author,d885e4a43dd407a3d4e137e57e7df34683ed9390
2021-03-19 20:40:52+00:00,mne-python,apoorva6262,author,8c5f92d112b3c01a1fe96ee31f75552d0781d067
2021-03-19 21:00:26+00:00,mne-python,vagechirkov,author,bc78db538a6cd761742c614d716904a571aa8ee1
2021-03-19 21:07:11+00:00,mne-python,mdclarke,author,46d00e571a2bc7511f17ab103d64b4d6fafbde3d
2021-03-19 21:37:37+00:00,mne-python,vpeterson,author,49536e31fdd3a69dcfe21a0b2efd69958dead5cd
2021-03-19 22:03:31+00:00,mne-python,nordme,author,12b43d605332b567382d2a9ed350d37d1e0042a2
2021-03-20 00:13:03+00:00,mne-python,anaradanovic,author,523413f911e23bfef98ca92e3cfa00c80501f94d
2021-03-20 00:47:43+00:00,mne-python,apoorva6262,author,dc4545c7d0a80791a26d9e3c3651d336202b2bb1
2021-03-20 00:58:46+00:00,mne-python,catalinamagalvan,author,0816e31439a01e7ba6a1488fb006ae75dd25ac57
2021-03-20 01:02:36+00:00,mne-python,eort,author,fd1723fecccdbe01150b033a2943b03d9fe5292b
2021-03-21 08:53:58+00:00,mne-python,ramkpari,author,bbcba957bcef31af9b49262ff1435a3c45c2e1df
2021-03-21 13:34:08+00:00,mne-python,Falach,author,62ca227ef00086cd644b2a1ddcb291501a506485
2021-03-21 17:47:31+00:00,mne-python,vagechirkov,author,1e403b2f5708f624871eed7661a2b81b6259114c
2021-03-22 08:52:52+00:00,mne-bids,adam2392,author,a2b03504eb9891a48bae10534234815232220732
2021-03-22 18:33:43+00:00,mne-python,vagechirkov,author,7db3238ce80d094bc65518486c4f3d1c83421640
2021-03-22 20:03:24+00:00,mne-python,marsipu,author,acf25ef4d0b781aeff573797238f422a048cb9c8
2021-03-23 13:41:29+00:00,mne-python,alexrockhill,author,59008cfa021f617c9c6de50593f55cdbdbf17538
2021-03-23 13:41:29+00:00,mne-python,adam2392,co-author,59008cfa021f617c9c6de50593f55cdbdbf17538
2021-03-24 14:49:36+00:00,mne-hfo,adam2392,author,ad6299d70d42e995e8ebf30d89f7eeb037534d3d
2021-03-24 14:49:36+00:00,mne-hfo,adam2392,committer,ad6299d70d42e995e8ebf30d89f7eeb037534d3d
2021-03-24 20:58:59+00:00,mne-python,vagechirkov,author,e430158cee998776551efffbb343e4e42a45ae37
2021-03-25 09:23:52+00:00,mne-python,NeuroLaunch,author,0c225f44f990b13c42389c56719f2008b0f9b4f6
2021-03-25 14:34:57+00:00,mne-python,vagechirkov,author,a98c4f5ce9d8272b0b7528b3054c74b8d43373ae
2021-03-25 14:46:29+00:00,mne-python,neurogima,author,b24f531d39c954d7923d49ff454c50bb4dc8e43d
2021-03-27 06:37:33+00:00,mne-bids,alexrockhill,author,57cc0b099753175d354223a0075d1f4de3978e84
2021-03-27 15:09:57+00:00,mne-bids,alexrockhill,author,2b8e01912c67b32d36c6bb6e765b5b12048ca0b2
2021-03-27 21:08:00+00:00,mne-bids,alexrockhill,author,ec6e93689ae22651dd8c1e50da082b70a63bc5c3
2021-03-30 18:38:11+00:00,mne-python,HanBnrd,author,98fb5c26dee0b5c36a666e945fecd4423e0b712e
2021-03-31 20:46:17+00:00,mne-bids,adam2392,author,29f867bb824c84b03a18cd8583d7b711660f772e
2021-04-05 21:14:27+00:00,mne-hfo,adam2392,author,b9cc29c9f49f58601b4594250a0f0b91ba7daae1
2021-04-06 16:00:21+00:00,mne-hfo,adam2392,author,4b7ed2bb03efa5e859fe82934515f8fc9fc976e7
2021-04-06 16:00:21+00:00,mne-hfo,adam2392,committer,4b7ed2bb03efa5e859fe82934515f8fc9fc976e7
2021-04-06 20:29:31+00:00,mne-python,eioe,author,5ae29cd69aa6075dc9ecd97402571ff7b2a03d21
2021-04-07 02:49:23+00:00,mne-hfo,adam2392,committer,0c32dcbc5959d470093cc957e0e4c37eae7d9cdf
2021-04-07 02:49:23+00:00,mne-hfo,adam2392,author,0c32dcbc5959d470093cc957e0e4c37eae7d9cdf
2021-04-07 14:24:50+00:00,mne-hfo,adam2392,author,094382a6fdb9cd8f897a25a18aaa92e876ab15f9
2021-04-07 14:24:50+00:00,mne-hfo,adam2392,committer,094382a6fdb9cd8f897a25a18aaa92e876ab15f9
2021-04-07 14:40:18+00:00,mne-hfo,adam2392,author,839e152c8cf9408b21085eadd80b14cbdb7e4b2b
2021-04-07 14:40:18+00:00,mne-hfo,adam2392,committer,839e152c8cf9408b21085eadd80b14cbdb7e4b2b
2021-04-08 01:38:31+00:00,mne-hfo,adam2392,author,10d17ffd7316547dbf40ae7db5849e0a20418a9e
2021-04-08 01:38:31+00:00,mne-hfo,adam2392,committer,10d17ffd7316547dbf40ae7db5849e0a20418a9e
2021-04-10 14:38:23+00:00,mne-python,ramkpari,author,a067a3fbf2c19e60237e1b7ee76ed3ee9038a366
2021-04-12 03:23:49+00:00,mne-python,HanBnrd,author,df6115ead7474c0374eda5958266fd02c9b5b1e0
2021-04-13 00:54:43+00:00,mne-hfo,adam2392,author,a5f6c38d9219a97726d73333f51d412e772e84c1
2021-04-15 19:30:46+00:00,mne-python,ramkpari,author,7b428b96c2a719902ae72a498618062f879d674c
2021-04-16 10:10:12+00:00,mne-bids,eort,author,bc488fc0d77c9c7ac022e80489b39bafcbb9ca9c
2021-04-20 13:38:07+00:00,mne-python,alexrockhill,author,87c9eafdaf8fdab33ff1063d0d7bb03afac60bb5
2021-04-22 14:56:57+00:00,mne-python,marsipu,author,350f76bff4b590e3662830cf0308492638c27703
2021-04-23 18:56:38+00:00,mne-python,HanBnrd,co-author,e4a157174c3ae386072a6ead360efb8b32a5f729
2021-04-26 12:28:50+00:00,mne-python,ramkpari,author,36f5dcd355ab15dbc5b5e86fa7cc679997078f45
2021-04-26 12:37:11+00:00,mne-python,eioe,author,dece6792280a7e3fe566b58e0e3c917b75edbcb5
2021-04-26 16:37:49+00:00,mne-python,eort,author,10e1869f39a41250ef4706949b906361a9bc33fd
2021-05-20 17:07:04+00:00,mne-python,marsipu,author,d8768e2c0b4fbd65f92c9c7d625b03f4ec171d34
2021-05-20 19:08:51+00:00,mne-python,marsipu,author,0079f5b2973b979743ac97d9ba8ea882e50e3548
2021-05-21 18:57:27+00:00,mne-connectivity,adam2392,author,c6581ec33601ede490cc1543931e16fb4c12de68
2021-06-07 18:05:54+00:00,mne-hfo,adam2392,author,7fb5ccbdc674a8afbfcfd533b1924f603b4ad9a8
2021-06-07 18:05:54+00:00,mne-hfo,adam2392,co-author,7fb5ccbdc674a8afbfcfd533b1924f603b4ad9a8
2021-06-07 18:05:54+00:00,mne-hfo,adam2392,co-author,7fb5ccbdc674a8afbfcfd533b1924f603b4ad9a8
2021-06-09 14:37:50+00:00,mne-python,marsipu,author,bd644550776f9cf343118deb6551237c06b6ebed
2021-06-11 14:31:22+00:00,mne-python,marsipu,author,a0d5d76ee35d6a59120f91500dddfda05b02da6d
2021-06-14 14:16:56+00:00,mne-connectivity,adam2392,author,4b6cde7306224bcf4b807d525868f5782eb07e08
2021-06-14 14:56:10+00:00,mne-hfo,adam2392,co-author,abebbaaa77e5567aeb43964d3afd08ef2d5b2295
2021-06-16 15:36:26+00:00,mne-connectivity,adam2392,author,9bd9dab40098ef047dd62f699c50d3aa79e5ab0a
2021-06-16 19:02:39+00:00,mne-python,alexrockhill,author,f5460789ec67f59bdd21d0f29898d38683b7d7d4
2021-06-17 18:02:43+00:00,mne-python,alexrockhill,author,fb7cf920c18a41d64aaa452bfb1b3bda5d9ae6a7
2021-06-24 15:00:06+00:00,mne-python,alexrockhill,author,44f5ecb6b19d15bddd13582e489bd2a5a88827f6
2021-06-25 09:36:35+00:00,mne-python,alexrockhill,author,9690573def6fd672c7a18bce5fe7ba94a5e64c01
2021-07-02 17:14:09+00:00,mne-python,nordme,author,2e200aa7778a1462b4da6ce7bf4253b99cde3d6a
2021-07-08 12:09:54+00:00,mne-bids,alexrockhill,author,f8b102226346460d1c30da21af487d68b06826f3
2021-07-08 13:00:57+00:00,mne-connectivity,adam2392,author,d5aafc35d0253443839101fa916120ab3baca6f4
2021-07-12 13:02:48+00:00,mne-python,alexrockhill,author,3b9ec94e43aed102fe759752b899514c80afc5f5
2021-07-13 13:42:43+00:00,mne-connectivity,adam2392,author,5fc360793b01bb8f6917719939230fed8e1154af
2021-07-15 16:59:31+00:00,mne-python,HanBnrd,co-author,19bdd7941e3dedaf4fd8dcc49805d2e7dacfbecc
2021-07-16 22:07:47+00:00,mne-python,alexrockhill,author,ec2aaa7b1ff40fa2d7a38bd1c376b217d251376f
2021-07-16 22:16:03+00:00,mne-python,alexrockhill,author,4875e04cdebba132fc637ca65b3cb50584aee8b7
2021-07-19 13:43:46+00:00,mne-python,alexrockhill,author,b91e4f77d31f434dfcf496c3115ab1168539c514
2021-07-19 15:48:31+00:00,mne-python,alexrockhill,author,f3a7dece8d4361265e055f617e98c197c7cba07e
